Ward,Old Ward Code,Local Authority,ward_name,Geography,2010-14;Male;Life expectancy at birth,2010-14;Female;Life expectancy at birth,Median monthly houshold income,homes with good access to all four types of public open space% ,Employment rate 2011 (16-64),well-being scores,percent_green
E05000026,00ABFX,Barking and Dagenham,Abbey,Ward,80,83.6,33920,0.3,60.3,7.789196612,27.83831348
E05000026,00ABFX,Barking and Dagenham,Abbey,Ward,80,83.6,33920,0.3,60.3,7.789196612,25.96143903
E05000027,00ABFY,Barking and Dagenham,Alibon,Ward,77,81.4,32470,0,63.1,7.553030303,45.93713283
E05000028,00ABFZ,Barking and Dagenham,Becontree,Ward,79,79.2,33000,0,61.2,7.551140718,36.07570488
E05000029,00ABGA,Barking and Dagenham,Chadwell Heath,Ward,79.1,82.7,33920,0,63.6,7.551140718,62.01249888
E05000030,00ABGB,Barking and Dagenham,Eastbrook,Ward,78.3,81.3,37400,0,68.2,7.553030303,55.77085155
E05000031,00ABGC,Barking and Dagenham,Eastbury,Ward,78.5,85.6,32870,0,61.5,7.789196612,40.78223732
E05000032,00ABGD,Barking and Dagenham,Gascoigne,Ward,76.9,80.3,29480,0,56.4,7.789196612,25.34334729
E05000033,00ABGE,Barking and Dagenham,Goresbrook,Ward,78.5,83.1,33250,0,63.6,7.789196612,42.73871873
E05000034,00ABGF,Barking and Dagenham,Heath,Ward,77.1,80.6,31340,0,61.4,7.551140718,49.48908764
E05000035,00ABGG,Barking and Dagenham,Longbridge,Ward,78.4,86.3,40570,5.4,65.2,7.789196612,45.74628283
E05000036,00ABGH,Barking and Dagenham,Mayesbrook,Ward,77.4,84,31530,0,61.9,7.553030303,54.67665528
E05000037,00ABGJ,Barking and Dagenham,Parsloes,Ward,76.3,83.2,31860,0,61.5,7.553030303,45.74184823
E05000038,00ABGK,Barking and Dagenham,River,Ward,75.3,78.8,33490,0,64.2,7.553030303,18.85289455
E05000039,00ABGL,Barking and Dagenham,Thames,Ward,76.2,83.9,32580,0,60.5,7.789196612,22.36543627
E05000040,00ABGM,Barking and Dagenham,Valence,Ward,78,81.8,33200,0,63.1,7.551140718,38.5504101
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,0,61.7,7.553030303,54.27852519
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,0,61.7,7.553030303,76.35589392
E05000042,00ABGP,Barking and Dagenham,Whalebone,Ward,79.5,85.8,37180,0,67.5,7.551140718,32.23883249
E05000043,00ACFX,Barnet,Brunswick Park,Ward,83.1,84.7,39800,0.8,71.4,7.3571298,46.7592725
E05000044,00ACFY,Barnet,Burnt Oak,Ward,77.3,80.8,29400,0,63.7,7.343684483,43.1515361
E05000045,00ACFZ,Barnet,Childs Hill,Ward,80.1,83.5,38960,0,67.9,7.385812172,44.21619637
E05000046,00ACGA,Barnet,Colindale,Ward,83.7,86.2,30170,0,61.9,7.343684483,32.0354058
E05000047,00ACGB,Barnet,Coppetts,Ward,80,82.1,38090,0,71.5,7.3571298,47.05911903
E05000048,00ACGC,Barnet,East Barnet,Ward,81.6,85.4,39870,0,71.5,7.393772861,51.89692631
E05000049,00ACGD,Barnet,East Finchley,Ward,81.9,85.4,41160,2,74.9,7.3571298,55.79324326
E05000050,00ACGE,Barnet,Edgware,Ward,84,87.5,38410,0,69,7.343684483,63.92986738
E05000050,00ACGE,Barnet,Edgware,Ward,84,87.5,38410,0,69,7.343684483,34.87869705
E05000051,00ACGF,Barnet,Finchley Church End,Ward,85.4,88.1,45030,0,72.6,7.3571298,45.28364464
E05000052,00ACGG,Barnet,Garden Suburb,Ward,85.5,88.8,53090,0.1,73.1,7.385812172,63.76092178
E05000053,00ACGH,Barnet,Golders Green,Ward,80.9,82.7,40800,0,66.7,7.385812172,37.56418879
E05000054,00ACGJ,Barnet,Hale,Ward,81.8,85.8,38590,0,70.7,7.343684483,65.82172264
E05000055,00ACGK,Barnet,Hendon,Ward,80.3,83.8,38530,0,66.7,7.385812172,41.59834153
E05000056,00ACGL,Barnet,High Barnet,Ward,81.8,84.4,43940,0,74.5,7.393772861,75.8351836
E05000057,00ACGM,Barnet,Mill Hill,Ward,83,86.4,41920,0,70.5,7.343684483,68.41922059
E05000058,00ACGN,Barnet,Oakleigh,Ward,81.5,85,41670,0,73.4,7.393772861,49.28447733
E05000059,00ACGP,Barnet,Totteridge,Ward,83.8,87,46150,0,71.6,7.393772861,76.31914389
E05000060,00ACGQ,Barnet,Underhill,Ward,79,83.4,37040,0,68.3,7.393772861,64.94410747
E05000061,00ACGR,Barnet,West Finchley,Ward,82.2,83.9,42050,0,74.2,7.3571298,39.47284034
E05000062,00ACGS,Barnet,West Hendon,Ward,81.4,87,35090,0,67.2,7.385812172,42.01033756
E05000063,00ACGT,Barnet,Woodhouse,Ward,82.2,84.3,38220,0,72,7.3571298,42.75730216
E05000064,00ADGA,Bexley,Barnehurst,Ward,79.8,84.7,38200,0,75.8,7.843968702,42.07999468
E05000065,00ADGB,Bexley,Belvedere,Ward,78.4,86.8,33510,0,70.4,7.822060383,37.42498997
E05000066,00ADGC,Bexley,Blackfen and Lamorbey,Ward,82.5,87.7,40780,0,77.3,7.835642035,
E05000067,00ADGD,Bexley,Blendon and Penhill,Ward,83.5,86.3,40340,0,78.2,7.835642035,
E05000068,00ADGE,Bexley,Brampton,Ward,82.8,86.6,40790,0,76.6,7.843968702,
E05000069,00ADGF,Bexley,Christchurch,Ward,81,83.4,40190,0,77,7.843968702,
E05000070,00ADGG,Bexley,Colyers,Ward,78.4,84.1,34450,0,70.2,7.822060383,
E05000071,00ADGH,Bexley,Crayford,Ward,80.5,83.8,34900,0,73.2,7.835642035,43.41898176
E05000072,00ADGJ,Bexley,Cray Meadows,Ward,79.6,83.2,35530,0,71.4,7.835642035,
E05000073,00ADGK,Bexley,Danson Park,Ward,80.8,83.5,38580,0,75,7.843968702,
E05000074,00ADGL,Bexley,East Wickham,Ward,81.6,84.7,36260,0,73.5,7.843968702,38.27691077
E05000075,00ADGM,Bexley,Erith,Ward,79.4,85,33160,0,67.6,7.822060383,28.31282809
E05000076,00ADGN,Bexley,Falconwood and Welling,Ward,81,86.8,39000,0,76.2,7.843968702,
E05000077,00ADGP,Bexley,Lesnes Abbey,Ward,80.6,82.9,35630,0,69.7,7.822060383,
E05000078,00ADGQ,Bexley,Longlands,Ward,80.9,82.8,40880,0,75.4,7.835642035,41.92810918
E05000079,00ADGR,Bexley,North End,Ward,75.7,83.6,29930,0,63.3,7.822060383,16.85231275
E05000080,00ADGS,Bexley,Northumberland Heath,Ward,80.9,87.8,37130,0,73.6,7.822060383,26.63003059
E05000081,00ADGT,Bexley,St Marys,Ward,81.5,88.9,44010,0,77.3,7.835642035,
E05000082,00ADGU,Bexley,St Michaels,Ward,81.9,86.5,38510,0,75.9,7.843968702,
E05000083,00ADGW,Bexley,Sidcup,Ward,80,83,41220,0,74,7.835642035,42.61754469
E05000084,00ADGX,Bexley,Thamesmead East,Ward,79.3,83.4,32100,0,62.6,7.822060383,42.60784933
E05000085,00AEGJ,Brent,Alperton,Ward,82,85.8,31250,0,67.4,7.370893963,29.27924485
E05000086,00AEGK,Brent,Barnhill,Ward,77.8,81.2,34630,0,64.2,7.375101879,54.39248194
E05000086,00AEGK,Brent,Barnhill,Ward,77.8,81.2,34630,0,64.2,7.375101879,45.05682277
E05000087,00AEGL,Brent,Brondesbury Park,Ward,81.9,87.5,40020,0,71.8,7.635363297,47.98390103
E05000088,00AEGM,Brent,Dollis Hill,Ward,82.2,89.1,30990,0,61.5,7.635363297,39.27044171
E05000089,00AEGN,Brent,Dudden Hill,Ward,82.8,85.6,33470,0,65.9,7.375101879,32.92755511
E05000090,00AEGP,Brent,Fryent,Ward,80,83.7,35590,0,66.5,7.375101879,57.50020273
E05000091,00AEGQ,Brent,Harlesden,Ward,77.7,83.4,27030,0,59.3,7.375101879,28.04066734
E05000092,00AEGR,Brent,Kensal Green,Ward,80.1,91,34640,0,68.8,7.375101879,27.64780695
E05000093,00AEGS,Brent,Kenton,Ward,83.6,92.1,42190,0,70.3,7.370893963,46.3546621
E05000094,00AEGT,Brent,Kilburn,Ward,79.9,86.7,34270,0,68.9,7.635363297,27.88159528
E05000094,00AEGT,Brent,Kilburn,Ward,79.9,86.7,34270,0,68.9,7.635363297,31.77793553
E05000095,00AEGU,Brent,Mapesbury,Ward,79,85.3,36830,0,70.6,7.635363297,41.94713797
E05000096,00AEGW,Brent,Northwick Park,Ward,81,85.7,41100,0,67.4,7.370893963,52.07805726
E05000097,00AEGX,Brent,Preston,Ward,80.9,85.3,35960,0,67,7.370893963,41.78058265
E05000098,00AEGY,Brent,Queens Park,Ward,81.5,90.4,42880,0,75.8,7.635363297,39.45882155
E05000099,00AEGZ,Brent,Queensbury,Ward,80.8,83.2,35110,0,67.7,7.370893963,34.04846842
E05000099,00AEGZ,Brent,Queensbury,Ward,80.8,83.2,35110,0,67.7,7.370893963,39.68981465
E05000100,00AEHA,Brent,Stonebridge,Ward,76.5,81.8,25800,0,54.2,7.375101879,26.05886258
E05000101,00AEHB,Brent,Sudbury,Ward,78.7,84.2,33530,0,67.4,7.370893963,51.57240209
E05000102,00AEHC,Brent,Tokyngton,Ward,78.9,84.4,33130,0,67.5,7.370893963,25.88396888
E05000103,00AEHD,Brent,Welsh Harp,Ward,78.8,85.4,31620,0,64.9,7.375101879,39.92830219
E05000104,00AEHE,Brent,Wembley Central,Ward,81.9,85.7,31040,0,65.6,7.370893963,34.63035528
E05000105,00AEHF,Brent,Willesden Green,Ward,79.8,84.4,31390,0,68.6,7.635363297,44.71174967
E05000106,00AFGD,Bromley,Bickley,Ward,80.4,83.3,47190,0,76,7.82732393,49.0999734
E05000107,00AFGE,Bromley,Biggin Hill,Ward,83.4,85.9,40930,0,79.2,8.157906734,69.45513635
E05000108,00AFGF,Bromley,Bromley Common and Keston,Ward,81.7,85.1,40510,0,73.2,8.157906734,67.58689275
E05000109,00AFGG,Bromley,Bromley Town,Ward,79.4,83.7,43460,0,78.6,7.82732393,37.54127854
E05000110,00AFGH,Bromley,Chelsfield and Pratts Bottom,Ward,83.5,87.1,44850,0,77.3,7.583747282,79.65709472
E05000111,00AFGJ,Bromley,Chislehurst,Ward,81,83.5,46250,0,75.1,7.82732393,73.67598178
E05000112,00AFGK,Bromley,Clock House,Ward,80,85.8,41650,0,77.7,7.635500083,40.54623774
E05000113,00AFGL,Bromley,Copers Cope,Ward,80.1,84.4,43170,0,79.5,7.635500083,49.02001692
E05000114,00AFGM,Bromley,Cray Valley East,Ward,78.6,84.2,32230,0,69.3,7.583747282,76.54478354
E05000115,00AFGN,Bromley,Cray Valley West,Ward,78.4,84,31740,0,67.4,7.583747282,42.45863205
E05000116,00AFGP,Bromley,Crystal Palace,Ward,77,81.8,34060,0,69.5,7.635500083,56.3512647
E05000117,00AFGQ,Bromley,Darwin,Ward,81.8,83.5,42810,0,75,8.157906734,91.33777577
E05000118,00AFGR,Bromley,Farnborough and Crofton,Ward,83.1,88.5,44590,0,75.1,7.583747282,64.7217053
E05000119,00AFGS,Bromley,Hayes and Coney Hall,Ward,82.4,86.5,45660,0,76.3,8.157906734,73.41630272
E05000120,00AFGT,Bromley,Kelsey and Eden Park,Ward,83.2,86.9,44700,0,75.5,7.635500083,52.15953256
E05000121,00AFGU,Bromley,Mottingham and Chislehurst North,Ward,79.5,82.3,32330,0,67.9,7.82732393,54.27845789
E05000122,00AFGW,Bromley,Orpington,Ward,83,84.9,38090,0,72.8,7.583747282,40.03149278
E05000123,00AFGX,Bromley,Penge and Cator,Ward,80.3,84.5,36090,0,70.4,7.635500083,43.5446622
E05000124,00AFGY,Bromley,Petts Wood and Knoll,Ward,83.8,88.1,48530,0,75.4,7.583747282,51.84683699
E05000125,00AFGZ,Bromley,Plaistow and Sundridge,Ward,77.4,81.9,39460,0,73.5,7.82732393,60.38752637
E05000126,00AFHA,Bromley,Shortlands,Ward,86.7,88.3,48020,0,76.3,7.635500083,47.7063721
E05000127,00AFHB,Bromley,West Wickham,Ward,82.9,86.4,46210,0,76.8,8.157906734,51.33304548
E05000128,00AGGD,Camden,Belsize,Ward,84.4,88.7,52680,0,74.4,7.731649684,41.11160589
E05000129,00AGGE,Camden,Bloomsbury,Ward,81.6,85.8,40340,10.8,51.4,7.503482145,16.18853115
E05000130,00AGGF,Camden,Camden Town with Primrose Hill,Ward,82.4,85.5,45840,27,69.4,7.731649684,29.28364306
E05000131,00AGGG,Camden,Cantelowes,Ward,79.4,84.4,39060,6.3,64.3,7.731649684,34.67605005
E05000132,00AGGH,Camden,Fortune Green,Ward,84.4,87.3,46800,0,74.6,7.633687418,45.1165796
E05000133,00AGGJ,Camden,Frognal and Fitzjohns,Ward,85.9,88,60310,0,69.8,7.633687418,52.88909693
E05000134,00AGGK,Camden,Gospel Oak,Ward,80.7,87.5,39990,75.1,65.5,7.731649684,35.85223332
E05000135,00AGGL,Camden,Hampstead Town,Ward,83.6,92.1,62840,3.3,76.6,7.633687418,70.35801968
E05000136,00AGGM,Camden,Haverstock,Ward,79,85.7,35730,24.9,62.9,7.731649684,34.85709834
E05000137,00AGGN,Camden,Highgate,Ward,83,87.1,47840,82.8,70.4,7.633687418,74.59614558
E05000137,00AGGN,Camden,Highgate,Ward,83,87.1,47840,82.8,70.4,7.633687418,66.44792645
E05000138,00AGGP,Camden,Holborn and Covent Garden,Ward,80.8,90.5,40180,0,61.9,7.503482145,14.27367798
E05000139,00AGGQ,Camden,Kentish Town,Ward,77.5,81.2,41230,17.1,71.3,7.731649684,24.27639397
E05000140,00AGGR,Camden,Kilburn,Ward,76.9,80.9,34730,0,66.8,7.633687418,27.88159528
E05000140,00AGGR,Camden,Kilburn,Ward,76.9,80.9,34730,0,66.8,7.633687418,31.77793553
E05000141,00AGGS,Camden,Kings Cross,Ward,80.9,90,32890,0,46.1,7.503482145,
E05000142,00AGGT,Camden,Regents Park,Ward,77.8,86.2,34260,31.8,54.4,7.503482145,
E05000143,00AGGU,Camden,St Pancras and Somers Town,Ward,78.8,81.4,30500,22.2,53,7.503482145,
E05000144,00AGGW,Camden,Swiss Cottage,Ward,82.8,87.5,50340,0,72.3,7.633687418,48.7767696
E05000145,00AGGX,Camden,West Hampstead,Ward,82.4,86.3,46290,0,76.2,7.633687418,27.17698357
E05000146,00AHGE,Croydon,Addiscombe,Ward,78.6,82.7,38070,0,74.1,7.568437302,
E05000147,00AHGF,Croydon,Ashburton,Ward,82.2,85.1,38600,0,71.7,7.278810493,
E05000148,00AHGG,Croydon,Bensham Manor,Ward,81.8,83.6,33530,0,67.5,7.515675046,28.02407725
E05000149,00AHGH,Croydon,Broad Green,Ward,77.7,81,31000,0,64.6,7.568437302,18.14241663
E05000150,00AHGJ,Croydon,Coulsdon East,Ward,81.7,88.7,42660,0,73.9,7.947382419,
E05000151,00AHGK,Croydon,Coulsdon West,Ward,79.9,84.5,46610,0,75.5,7.947382419,
E05000152,00AHGL,Croydon,Croham,Ward,81,82.5,42260,0,76.5,7.568437302,
E05000153,00AHGM,Croydon,Fairfield,Ward,80.2,82.3,39130,0,73.1,7.568437302,12.1867198
E05000153,00AHGM,Croydon,Fairfield,Ward,80.2,82.3,39130,0,73.1,7.568437302,17.97641325
E05000154,00AHGN,Croydon,Fieldway,Ward,78.1,81.6,26720,0,58.5,7.633344657,
E05000155,00AHGP,Croydon,Heathfield,Ward,82.6,85.5,39770,0,74.3,7.633344657,46.72363792
E05000156,00AHGQ,Croydon,Kenley,Ward,80.9,83.2,44160,0,75,7.947382419,71.49957536
E05000157,00AHGR,Croydon,New Addington,Ward,77.5,80,28770,0,64.4,7.633344657,
E05000158,00AHGS,Croydon,Norbury,Ward,78.6,84.6,36810,0,69.5,7.515675046,
E05000159,00AHGT,Croydon,Purley,Ward,82.5,84.4,44600,0,74.1,7.947382419,
E05000160,00AHGU,Croydon,Sanderstead,Ward,84.2,86.7,47030,0,74.9,7.947382419,72.06213603
E05000161,00AHGW,Croydon,Selhurst,Ward,74.4,79.4,31220,0,64.7,7.515675046,29.02490406
E05000162,00AHGX,Croydon,Selsdon and Ballards,Ward,85,87.4,45320,0,76.4,7.633344657,
E05000163,00AHGY,Croydon,Shirley,Ward,81.2,87.9,39500,0,72.3,7.633344657,
E05000164,00AHGZ,Croydon,South Norwood,Ward,79.2,82.1,34430,0,68.7,7.278810493,31.97186444
E05000165,00AHHA,Croydon,Thornton Heath,Ward,77.7,82.5,33720,0,66.8,7.515675046,33.63075009
E05000166,00AHHB,Croydon,Upper Norwood,Ward,79.2,82.4,37430,0,69.7,7.278810493,
E05000167,00AHHC,Croydon,Waddon,Ward,75.9,80.3,34630,0,69.9,7.568437302,40.27871954
E05000168,00AHHD,Croydon,West Thornton,Ward,78,84,32400,0,64.6,7.515675046,32.84434427
E05000169,00AHHE,Croydon,Woodside,Ward,80.2,83.3,33890,0,69,7.278810493,42.08767546
E05000169,00AHHE,Croydon,Woodside,Ward,80.2,83.3,33890,0,69,7.278810493,37.85848692
E05000170,00AJGC,Ealing,Acton Central,Ward,79.8,85.2,36500,0,69.4,7.728323224,37.04988231
E05000171,00AJGD,Ealing,Cleveland,Ward,80.5,87,41730,0,68.6,7.989558244,53.22213677
E05000172,00AJGE,Ealing,Dormers Wells,Ward,78.8,84.5,29350,0,61,8.106277621,55.3173576
E05000173,00AJGF,Ealing,Ealing Broadway,Ward,79.5,83.8,45540,5,75.1,7.989558244,38.91979339
E05000174,00AJGG,Ealing,Ealing Common,Ward,80.4,83.3,43600,79.2,74.6,7.989558244,44.64199008
E05000175,00AJGH,Ealing,East Acton,Ward,80.6,85.2,32930,10.9,68.3,7.728323224,26.71371473
E05000176,00AJGJ,Ealing,Elthorne,Ward,79.4,83.5,38970,4.3,73.1,7.989558244,41.68658454
E05000177,00AJGK,Ealing,Greenford Broadway,Ward,78.1,82.3,30500,0,66.4,7.667606564,44.49863389
E05000178,00AJGL,Ealing,Greenford Green,Ward,81.2,84.8,35420,0,72.6,7.667606564,36.57665864
E05000179,00AJGM,Ealing,Hanger Hill,Ward,82.6,87.4,44760,0,71.9,7.728323224,50.29017763
E05000180,00AJGN,Ealing,Hobbayne,Ward,80.4,84.4,36220,0,70.6,7.989558244,56.86997286
E05000181,00AJGP,Ealing,Lady Margaret,Ward,77.9,83.4,32520,0,66.6,8.106277621,34.61704604
E05000182,00AJGQ,Ealing,Northfield,Ward,81.2,88,48480,69.7,78.6,7.989558244,38.36720331
E05000183,00AJGR,Ealing,North Greenford,Ward,82.4,87.1,36480,0,72.3,7.667606564,66.25601306
E05000184,00AJGS,Ealing,Northolt Mandeville,Ward,81.6,84.8,31950,0,67.3,7.667606564,51.81723916
E05000185,00AJGT,Ealing,Northolt West End,Ward,77.8,83.8,28550,0,61.9,7.667606564,63.40305294
E05000186,00AJGU,Ealing,Norwood Green,Ward,78.4,81,29020,0,57.3,8.106277621,46.12893497
E05000187,00AJGW,Ealing,Perivale,Ward,84,85.9,36040,0,71.4,7.667606564,46.47310124
E05000188,00AJGX,Ealing,South Acton,Ward,77.5,80.2,34300,31.4,68.1,7.728323224,32.38503571
E05000189,00AJGY,Ealing,Southall Broadway,Ward,79.8,84.2,27930,0,59.1,8.106277621,18.50832212
E05000190,00AJGZ,Ealing,Southall Green,Ward,77.3,84.2,27150,0,59.7,8.106277621,16.72336753
E05000191,00AJHA,Ealing,Southfield,Ward,81.5,85.3,50170,3.8,77.6,7.728323224,30.05654117
E05000192,00AJHB,Ealing,Walpole,Ward,79.7,83.4,46240,44.2,77.3,7.989558244,39.66033498
E05000193,00AKGL,Enfield,Bowes,Ward,82.1,85.3,36300,0.2,71.9,7.359744244,36.52258994
E05000194,00AKGM,Enfield,Bush Hill Park,Ward,81.1,83.2,41800,1.1,73,7.359744244,45.62036906
E05000195,00AKGN,Enfield,Chase,Ward,78.1,82.1,36350,40.7,69.5,7.204568524,83.19652433
E05000196,00AKGP,Enfield,Cockfosters,Ward,82.8,86.6,43570,8.3,66.9,7.359744244,75.19383797
E05000197,00AKGQ,Enfield,Edmonton Green,Ward,79.4,84.9,26010,45,53.8,7.420989432,30.54460615
E05000198,00AKGR,Enfield,Enfield Highway,Ward,81.5,84.8,29450,42.2,60.1,7.204568524,22.6058376
E05000199,00AKGS,Enfield,Enfield Lock,Ward,77.1,82.6,30240,61.8,62,7.204568524,43.13736385
E05000200,00AKGT,Enfield,Grange,Ward,83.3,87.3,45960,18.7,74.8,7.204568524,54.20968859
E05000201,00AKGU,Enfield,Haselbury,Ward,79.2,86.9,29600,24.3,59.3,7.420989432,40.47147855
E05000202,00AKGW,Enfield,Highlands,Ward,82.8,87.1,43540,3.1,72.9,7.359744244,68.92711117
E05000203,00AKGX,Enfield,Jubilee,Ward,79.2,82.3,30800,31.3,62.2,7.420989432,29.75588153
E05000204,00AKGY,Enfield,Lower Edmonton,Ward,80.5,82.8,28110,16.7,57.9,7.420989432,20.56029474
E05000205,00AKGZ,Enfield,Palmers Green,Ward,81.5,85.4,37970,9.9,70.2,7.359744244,35.39458599
E05000206,00AKHA,Enfield,Ponders End,Ward,78.4,85.4,28560,30.1,58,7.420989432,20.48824955
E05000207,00AKHB,Enfield,Southbury,Ward,80.2,85.8,33260,18.1,65,7.204568524,35.67305234
E05000208,00AKHC,Enfield,Southgate,Ward,81.2,85,41520,26.4,71.1,7.359744244,49.52675217
E05000209,00AKHD,Enfield,Southgate Green,Ward,82.3,84.7,42750,34.8,70.4,7.359744244,43.38066201
E05000210,00AKHE,Enfield,Town,Ward,82,84.8,42300,19.3,75.9,7.204568524,37.3052016
E05000210,00AKHE,Enfield,Town,Ward,82,84.8,42300,19.3,75.9,7.204568524,11.14186243
E05000211,00AKHF,Enfield,Turkey Street,Ward,79.1,82.3,28960,6.4,60.9,7.204568524,41.30520832
E05000212,00AKHG,Enfield,Upper Edmonton,Ward,75.9,79.4,28480,17.2,58.4,7.420989432,29.96093324
E05000213,00AKHH,Enfield,Winchmore Hill,Ward,81.7,83.3,45880,2.6,75.1,7.359744244,51.32659636
E05000214,00ALGP,Greenwich,Abbey Wood,Ward,77.2,83.2,31540,0,63.6,7.877755047,52.20545025
E05000215,00ALGQ,Greenwich,Blackheath Westcombe,Ward,81,82.9,49160,7.1,75.5,7.73092283,53.44380309
E05000216,00ALGR,Greenwich,Charlton,Ward,77.3,80.2,37940,0,67.7,7.73092283,44.55238123
E05000217,00ALGS,Greenwich,Coldharbour and New Eltham,Ward,78.7,83.8,38390,0,70.7,7.673856119,40.38122889
E05000218,00ALGT,Greenwich,Eltham North,Ward,81.9,86,43120,0,75.1,7.673856119,45.4073318
E05000219,00ALGU,Greenwich,Eltham South,Ward,79.9,83.9,37120,0,64.9,7.673856119,60.72136625
E05000220,00ALGW,Greenwich,Eltham West,Ward,76.9,82.6,34250,0,64,7.673856119,35.77152033
E05000221,00ALGX,Greenwich,Glyndon,Ward,75.4,79.1,31690,0,62.5,7.877755047,29.55698785
E05000222,00ALGY,Greenwich,Greenwich West,Ward,79.1,82.3,42270,12.4,68.6,7.73092283,44.82217179
E05000223,00ALGZ,Greenwich,Kidbrooke with Hornfair,Ward,79.9,83.1,35740,0,67.3,7.73092283,46.30488424
E05000224,00ALHA,Greenwich,Middle Park and Sutcliffe,Ward,80.3,84.5,35340,0,65.6,7.673856119,55.51983075
E05000225,00ALHB,Greenwich,Peninsula,Ward,79.1,83.7,41840,19.1,74.2,7.73092283,12.82994107
E05000226,00ALHC,Greenwich,Plumstead,Ward,79.2,83.3,32390,0,63.9,7.877755047,47.08390777
E05000227,00ALHD,Greenwich,Shooters Hill,Ward,80.2,84.9,39030,0,69.5,7.673856119,69.18139322
E05000228,00ALHE,Greenwich,Thamesmead Moorings,Ward,76.6,77.7,34450,0,62.9,7.877755047,36.24505302
E05000229,00ALHF,Greenwich,Woolwich Common,Ward,77,81.8,30260,0,60.5,7.877755047,45.16865451
E05000230,00ALHG,Greenwich,Woolwich Riverside,Ward,77.1,80.3,33540,0,64.7,7.877755047,18.47124155
E05000231,00AMGA,Hackney,Brownswood,Ward,77.9,83.6,40070,59.9,72,7.399268582,33.17522234
E05000232,00AMGB,Hackney,Cazenove,Ward,82,86,38130,23.8,64.8,7.381373522,30.9627851
E05000233,00AMGC,Hackney,Chatham,Ward,77.4,82.3,32510,59.4,63,7.485612846,
E05000234,00AMGD,Hackney,Clissold,Ward,79.8,83.8,45450,29.4,73.3,7.399268582,46.88588574
E05000235,00AMGE,Hackney,Dalston,Ward,79.2,82.6,38230,33.6,70.4,7.399268582,26.54175418
E05000236,00AMGF,Hackney,De Beauvoir,Ward,76.9,81.3,39060,24.3,71.1,7.583671763,33.46773711
E05000237,00AMGG,Hackney,Hackney Central,Ward,78.7,84,35260,56.2,66.6,7.485612846,30.82894303
E05000238,00AMGH,Hackney,Hackney Downs,Ward,78.4,84.7,35700,44.5,65.1,7.381373522,46.14327643
E05000239,00AMGJ,Hackney,Haggerston,Ward,77.9,81.9,36080,49.2,67.4,7.583671763,32.1853827
E05000240,00AMGK,Hackney,Hoxton,Ward,78.6,83.1,34970,4.5,62.7,7.583671763,
E05000241,00AMGL,Hackney,Kings Park,Ward,79,85.4,31970,89.3,57.6,7.485612846,
E05000242,00AMGM,Hackney,Leabridge,Ward,75.5,79.9,35110,75.6,65.6,7.381373522,
E05000243,00AMGN,Hackney,Lordship,Ward,78.7,84.1,39940,2.8,64.6,7.399268582,
E05000244,00AMGP,Hackney,New River,Ward,80.4,84.5,35590,15.8,58.2,7.381373522,
E05000245,00AMGQ,Hackney,Queensbridge,Ward,77.8,85.1,36720,81.5,67.7,7.583671763,
E05000246,00AMGR,Hackney,Springfield,Ward,78.1,84.4,33570,67.6,53.8,7.381373522,40.57270511
E05000247,00AMGS,Hackney,Stoke Newington Central,Ward,81.1,85,42400,68.2,73.4,7.399268582,
E05000248,00AMGT,Hackney,Victoria,Ward,77.5,81.8,37350,90.3,65.6,7.485612846,40.17995954
E05000249,00AMGU,Hackney,Wick,Ward,75.5,82.3,32890,87.1,60.4,7.485612846,
E05000250,00ANGA,Hammersmith and Fulham,Addison,Ward,80.5,84.9,43970,8.5,76.2,7.866022729,20.76132657
E05000251,00ANGB,Hammersmith and Fulham,Askew,Ward,81.1,83.8,38450,62.6,71.8,7.866022729,24.63675811
E05000252,00ANGC,Hammersmith and Fulham,Avonmore and Brook Green,Ward,79.1,85,43350,10.3,69.5,7.866022729,25.81359389
E05000253,00ANGD,Hammersmith and Fulham,College Park and Old Oak,Ward,75.4,84.2,30890,19,62.6,7.866022729,43.77374347
E05000254,00ANGE,Hammersmith and Fulham,Fulham Broadway,Ward,78.9,81.2,42130,0.1,72.4,7.730176226,14.01363852
E05000255,00ANGF,Hammersmith and Fulham,Fulham Reach,Ward,80,82.1,42010,0.5,71,7.730176226,26.13132031
E05000256,00ANGG,Hammersmith and Fulham,Hammersmith Broadway,Ward,77.6,80.8,39500,20.8,69.9,7.730176226,16.91852096
E05000257,00ANGH,Hammersmith and Fulham,Munster,Ward,80.5,87.9,50240,28.1,76.7,7.730176226,16.69153396
E05000258,00ANGJ,Hammersmith and Fulham,North End,Ward,78.9,82.4,39510,0,72.7,7.730176226,16.85231275
E05000259,00ANGK,Hammersmith and Fulham,Palace Riverside,Ward,84.3,84.7,53330,73.6,74.3,7.730176226,35.28999108
E05000260,00ANGL,Hammersmith and Fulham,Parsons Green and Walham,Ward,81.1,85.8,55720,12.6,73.7,7.730176226,22.68786098
E05000261,00ANGM,Hammersmith and Fulham,Ravenscourt Park,Ward,77.7,81.2,45510,77.1,72.2,7.866022729,34.81976627
E05000262,00ANGN,Hammersmith and Fulham,Sands End,Ward,80.1,84.8,44170,2,69.3,7.730176226,16.09631667
